CustomerID,EducationCode,MaritalStatusCode,Year_Birth,Dt_Customer,Income,Kidhome,Teenhome,Recency,ComplainFlag,AcceptedCmp1,AcceptedCmp2
5524,Graduation,Single,1957,04-09-2012,58138.0,0,0,58,0,0,0
2174,Graduation,Single,1954,08-03-2014,46344.0,1,1,38,0,0,0
4141,Graduation,Together,1965,21-08-2013,71613.0,0,0,26,0,0,0
6182,Graduation,Together,1984,10-02-2014,26646.0,1,0,26,0,0,0
5324,PhD,Married,1981,19-01-2014,58293.0,1,0,94,0,0,0
7446,Master,Together,1967,09-09-2013,62513.0,0,1,16,0,0,0
965,Graduation,Divorced,1971,13-11-2012,55635.0,0,1,34,0,0,0
6177,PhD,Married,1985,08-05-2013,33454.0,1,0,32,0,0,0
4855,PhD,Together,1974,06-06-2013,30351.0,1,0,19,0,0,0
5899,PhD,Together,1950,13-03-2014,5648.0,1,1,68,0,0,0
1994,Graduation,Married,1983,15-11-2013,,1,0,11,0,0,0
387,Basic,Married,1976,13-11-2012,7500.0,0,0,59,0,0,0
2125,Graduation,Divorced,1959,15-11-2013,63033.0,0,0,82,0,0,0
8180,Master,Divorced,1952,15-11-2013,59354.0,1,1,53,0,0,0
2569,Graduation,Married,1987,10-10-2012,17323.0,0,0,38,0,0,0
2114,PhD,Single,1946,24-11-2012,82800.0,0,0,23,0,1,0
9736,Graduation,Married,1980,24-12-2012,41850.0,1,1,51,0,0,0
4939,Graduation,Together,1946,31-08-2012,37760.0,0,0,20,0,0,0
6565,Master,Married,1949,28-03-2013,76995.0,0,1,91,0,1,0
2278,2n Cycle,Single,1985,03-11-2012,33812.0,1,0,86,0,0,0
9360,Graduation,Married,1982,08-08-2012,37040.0,0,0,41,0,0,0
5376,Graduation,Married,1979,06-01-2013,2447.0,1,0,42,0,0,0
1993,PhD,Married,1949,23-12-2012,58607.0,0,1,63,0,0,0
4047,PhD,Married,1954,11-01-2014,65324.0,0,1,0,0,0,0
1409,Graduation,Together,1951,18-03-2013,40689.0,0,1,69,0,0,0
7892,Graduation,Single,1969,02-01-2013,18589.0,0,0,89,0,0,0
2404,Graduation,Married,1976,27-05-2013,53359.0,1,1,4,0,0,0
5255,Graduation,Single,1986,20-02-2013,,1,0,19,0,0,0
9422,Graduation,Married,1989,31-05-2013,38360.0,1,0,26,0,0,0
1966,PhD,Married,1965,22-11-2013,84618.0,0,0,96,0,0,0
6864,Master,Divorced,1989,22-05-2014,10979.0,0,0,34,0,0,0
3033,Master,Together,1963,11-05-2013,38620.0,0,0,56,0,0,0
5710,Graduation,Together,1970,10-10-2012,40548.0,0,1,31,0,0,0
7373,PhD,Divorced,1952,29-10-2012,46610.0,0,2,8,0,0,0
8755,Master,Married,1946,20-02-2013,68657.0,0,0,4,0,0,0
10738,Master,Single,1951,29-08-2013,49389.0,1,1,55,0,0,0
4339,PhD,Married,1970,31-12-2013,67353.0,0,1,37,0,0,0
10755,2n Cycle,Married,1976,02-09-2013,23718.0,1,0,76,0,0,0
8595,Graduation,Widow,1973,11-02-2014,42429.0,0,1,99,0,0,0
2968,PhD,Divorced,1943,01-02-2013,48948.0,0,0,53,0,0,0
8601,Graduation,Married,1980,29-04-2013,80011.0,0,1,3,0,0,0
503,Master,Married,1985,12-03-2013,20559.0,1,0,88,0,0,0
8430,Graduation,Together,1957,24-12-2012,21994.0,0,1,4,0,0,0
7281,PhD,Single,1959,05-11-2013,,0,0,80,0,0,0
2139,Master,Married,1975,02-10-2013,7500.0,1,0,19,0,0,0
1371,Graduation,Single,1976,28-06-2014,79941.0,0,0,72,0,0,0
9909,2n Cycle,Married,1996,09-11-2012,7500.0,0,0,24,0,0,0
7286,Graduation,Together,1968,24-05-2013,41728.0,1,0,92,0,0,0
7244,Graduation,Single,1951,01-01-2014,,2,1,96,0,0,0
6566,PhD,Married,1954,08-11-2012,72550.0,1,1,39,0,0,0
8614,Graduation,Widow,1957,12-05-2014,65486.0,0,1,29,0,0,0
4114,Master,Married,1964,11-08-2012,79143.0,0,0,2,0,0,0
1331,Graduation,Single,1977,02-01-2013,35790.0,1,0,54,0,0,0
2225,Graduation,Divorced,1977,07-06-2014,82582.0,0,0,54,0,1,0
9381,Graduation,Married,1978,12-06-2013,66373.0,1,1,57,0,0,0
6260,Master,Together,1955,19-11-2012,82384.0,0,0,55,0,0,0
10383,Graduation,Divorced,1966,02-04-2013,70287.0,0,0,30,0,0,0
7437,Graduation,Single,1988,28-04-2014,27938.0,1,0,31,0,0,0
8557,Graduation,Single,1982,17-06-2013,,1,0,57,0,0,0
8375,PhD,Married,1968,03-03-2014,55954.0,0,1,63,0,0,0
6853,Master,Single,1982,04-07-2013,75777.0,0,0,12,0,0,0
3076,Graduation,Together,1975,07-09-2012,66653.0,1,1,18,0,0,0
1012,Graduation,Single,1952,18-02-2013,61823.0,0,1,26,0,0,0
6518,PhD,Widow,1951,11-06-2013,67680.0,0,1,8,0,0,0
4137,Graduation,Together,1948,06-12-2013,70666.0,0,0,29,0,0,0
8082,Graduation,Married,1971,21-05-2013,25721.0,1,0,75,0,0,0
1386,Graduation,Together,1967,11-05-2014,32474.0,1,1,0,0,0,0
9369,2n Cycle,Single,1979,19-03-2014,88194.0,0,1,19,0,1,0
4477,Graduation,Together,1958,27-09-2013,69096.0,0,1,4,0,0,0
1357,Graduation,Together,1970,08-04-2013,74854.0,1,2,90,0,0,0
1402,Master,Married,1954,11-09-2012,66991.0,0,0,1,0,0,0
10629,2n Cycle,Married,1973,14-09-2012,,1,0,25,0,0,0
6312,Graduation,Married,1959,17-03-2013,65031.0,0,1,29,0,0,0
8132,PhD,Married,1975,05-04-2013,60631.0,1,1,88,0,0,0
1050,Graduation,Married,1952,30-04-2014,28332.0,0,0,58,0,0,0
5846,Graduation,Divorced,1977,19-12-2012,40246.0,1,0,68,0,0,0
1859,Master,Married,1972,27-08-2012,75251.0,0,0,34,0,0,0
7503,Graduation,Single,1976,12-10-2012,75825.0,0,0,40,0,0,0
10401,2n Cycle,Together,1976,04-09-2013,26326.0,0,0,12,1,0,0
1618,Graduation,Together,1965,02-01-2013,56046.0,0,0,9,0,0,0
3332,Graduation,Single,1985,29-08-2012,29760.0,1,0,87,0,0,0
2261,Graduation,Married,1969,23-06-2013,26304.0,1,0,5,0,0,0
5346,2n Cycle,Married,1973,03-07-2013,23559.0,1,0,87,0,0,0
4119,Master,Together,1963,11-05-2013,38620.0,0,0,56,0,0,0
535,Graduation,Divorced,1987,25-02-2014,81361.0,0,0,18,0,0,0
5268,Graduation,Married,1960,11-08-2013,29440.0,1,1,95,0,0,0
273,Master,Married,1970,16-07-2013,36138.0,1,1,48,0,0,0
4452,Graduation,Single,1957,28-05-2014,50388.0,0,1,3,0,1,0
8504,Graduation,Married,1973,12-05-2014,79593.0,0,0,70,0,0,0
771,Graduation,Together,1967,21-01-2014,54178.0,0,1,79,0,0,0
8996,PhD,Married,1957,19-11-2012,,2,1,4,0,0,0
9235,Graduation,Single,1957,27-05-2014,,1,1,45,0,0,0
5798,Master,Together,1973,23-11-2013,,0,0,87,0,0,0
11178,Master,Single,1972,23-03-2014,42394.0,1,0,69,0,0,0
2230,PhD,Married,1970,24-05-2014,23626.0,1,0,84,0,0,0
7516,Graduation,Married,1983,22-05-2014,30096.0,1,0,30,0,0,0
7247,Graduation,Widow,1960,22-11-2012,47916.0,0,1,72,0,0,0
11100,Graduation,Divorced,1972,11-04-2013,51813.0,1,1,37,0,0,0
4646,2n Cycle,Married,1951,01-12-2013,78497.0,0,0,44,0,1,0
3037,PhD,Married,1983,20-06-2013,50150.0,0,0,32,0,0,0
1473,2n Cycle,Single,1960,23-07-2013,47823.0,0,1,0,0,0,0
1016,PhD,Single,1959,30-03-2014,34554.0,0,1,43,0,0,0
4518,Graduation,Together,1979,20-04-2013,85693.0,0,1,59,0,0,0
9370,PhD,Married,1945,17-05-2013,65846.0,0,0,68,0,0,0
8908,Graduation,Married,1959,08-05-2014,87195.0,0,0,35,0,0,0
8373,Basic,Together,1979,10-12-2013,24594.0,1,0,94,0,0,0
7533,Graduation,Married,1964,24-09-2013,49096.0,1,1,15,0,0,0
2683,Graduation,Married,1969,02-02-2013,52413.0,0,2,56,0,0,0
3629,Graduation,Single,1978,19-12-2012,38557.0,1,0,17,0,0,0
10991,Master,Married,1960,07-12-2012,89058.0,0,0,18,0,0,0
5077,Graduation,Together,1979,02-11-2013,77298.0,0,1,46,0,0,0
7431,PhD,Single,1991,10-11-2012,68126.0,0,0,40,0,0,0
3267,Master,Together,1963,25-06-2014,57288.0,0,1,27,0,0,0
999,Graduation,Single,1991,02-01-2013,86037.0,0,0,95,0,0,0
